"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipMemcpy",4,217107855,54276963,98.44190555939548
"hipMalloc",3,1674007,558002,0.7590348999568299
"hipFree",3,956539,318846,0.43371771095927686
"hipLaunchKernel",1,800641,800641,0.3630298208647493
"hipGetDevicePropertiesR0600",1,3777,3777,0.0017125823351616491
"__hipPushCallConfiguration",1,671,671,0.00030424748395379046
"__hipPopCallConfiguration",1,231,231,0.0001047409370988459
"hipGetDevice",1,220,220,9.975327342747228e-05
"hipPeekAtLastError",2,200,100,9.06847940249748e-05
